Row ID,Used,Entry Date,Ticker,Wheel ID,Key,Qty,Expiration Date,Strike,Type,Price,Commission,Premium Rx,Status,Symbol
623,False,06/16/2025,,,,316.0,,,,3000.0,,-9480.0,BOUGHT,NRO
622,False,06/17/2025,,,,1327.0,,,,500.0,,-6635.0,BOUGHT,PDO
621,False,06/18/2025,,,,518.0,,,,1500.0,,-7770.0,BOUGHT,IGR
620,False,06/26/2025,,,,61500.0,,,,-100.0,,61500.0,SOLD,IVV
617,False,06/30/2025,,,,12345.0,,,,-0.963,,118.88,SOLD,MU
618,False,06/30/2025,,,,12338.0,,,,-10.0,,1233.8,SOLD,MU
619,False,06/30/2025,,,,12345.0,,,,-15.0,,1851.75,SOLD,MU
615,False,07/03/2025,,,,1912.0,,,,500.0,,-9560.0,BOUGHT,PDI
616,False,07/03/2025,,,,1258.0,,,,1000.0,,-12580.0,BOUGHT,RQI
613,False,07/15/2025,,,,1230.0,,,,813.0,,-9999.9,BOUGHT,RQI
614,False,07/15/2025,,,,1230.0,,,,0.008,,-0.1,BOUGHT,RQI
609,False,07/18/2025,,,,10500.0,,,,95.0,,-9975.0,BOUGHT,CROX
610,False,07/18/2025,,,,10500.0,,,,95.0,,-9975.0,BOUGHT,CROX
611,False,07/18/2025,,,,10500.0,,,,0.238,,-24.99,BOUGHT,CROX
612,False,07/18/2025,,,,10500.0,,,,0.238,,-24.99,BOUGHT,CROX
603,False,08/07/2025,,,,5530.0,,,,-0.666,,36.83,SOLD,TPC
604,False,08/07/2025,,,,5555.0,,,,-5.0,,277.75,SOLD,TPC
605,False,08/07/2025,,,,5553.0,,,,-163.0,,9051.39,SOLD,TPC
606,False,08/07/2025,,,,5554.0,,,,-304.0,,16884.19,SOLD,TPC
607,False,08/07/2025,,,,5530.0,,,,-571.0,,31576.3,SOLD,TPC
608,False,08/07/2025,,,,707.0,,,,-76.0,,537.32,SOLD,TPST
602,False,08/11/2025,,,,3815.9999999999995,,,,150.0,,-5724.0,BOUGHT,LNC
601,False,08/12/2025,,,,7640.000000000001,,,,50.0,,-3820.0,BOUGHT,CROX
600,False,08/13/2025,,,,59220.00000000001,,,,25.0,,-14804.99,BOUGHT,VOO
596,False,09/03/2025,,,,1212.0,,,,750.0,,-9090.0,BOUGHT,TIGR
597,False,09/03/2025,,,,1221.0,,,,750.0,,-9157.5,BOUGHT,TIGR
598,False,09/03/2025,,,,1248.0,,,,500.0,,-6237.5,BOUGHT,TIGR
599,False,09/03/2025,,,,1396.0,,,,198.0,,-2764.08,BOUGHT,PDO
595,False,09/04/2025,,,,1396.0,,,,1000.0,,-13960.0,BOUGHT,PDO
591,False,09/11/2025,,,,15500.0,,,,-0.058,,8.99,SOLD,MU
592,False,09/11/2025,,,,15171.0,,,,-0.104,,15.78,SOLD,MU
593,False,09/11/2025,,,,15500.0,,,,-61.0,,9455.0,SOLD,MU
594,False,09/11/2025,,,,15169.999999999998,,,,-100.0,,15170.0,SOLD,MU
590,False,09/12/2025,,,,7800.0,,,,50.0,,-3900.0,BOUGHT,CROX
588,True,09/15/2025,KEY,KEY-2025-1,CALL-START,40.0,10/31/2025,20.0,CALL,-2.0,1.35,78.65,SOLD OPENING CALL,KEY251031C20
589,True,09/15/2025,QQQ,QQQ-2025-1,CALL-START,332.0,09/17/2025,588.0,CALL,-1.0,0.67,331.33,SOLD OPENING CALL,QQQ250917C588
586,False,09/16/2025,,,,8066.0,,,,8.0,,-645.28,BOUGHT,WFC
587,True,09/16/2025,WFC,WFC-2025-1,CALL-START,128.0,10/31/2025,87.0,CALL,-1.0,0.67,127.33,SOLD OPENING CALL,WFC251031C87
